name;analogue;classes
BMC Remedy IT Asset Management;DCImanager (8676)|ITAM-система ИнфраМенеджер (2595)|Naumen Inventory (535)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|TRS.Service Desk - решение для оптимизации процессов и служб по работе с клиентскими обращениями. (5349)|Решение по управлению ИТ-активами: inline Asset Management (246018);Средства управления ИТ-инфраструктурой|ПО для функциональных сотрудников/подразделений|EAM-системы (управление активами предприятия)|Средства управления доступом к информационным ресурсам|CRM-системы|Service Desk|Колл-центры
BMC Remedy ITSM Suite;ITSM-система ИнфраМенеджер (2595)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Pyrus (4857)|SimpleOne ITSM (undefined)|TRS.Service Desk - решение для оптимизации процессов и служб по работе с клиентскими обращениями. (5349)|Платформа Окдеск (12600);Системы управления бизнес-процессами|Средства управления ИТ-инфраструктурой|CRM-системы|Service Desk|Колл-центры|Системы организации групповой работы|Корпоративные порталы и средства их создания|ПО для функциональных сотрудников/подразделений|Управление ТОиР
BMC Remedy Solutions;Naumen Service Desk (196)|Service Desk ИнфраМенеджер (2595)|SimpleOne ITSM (undefined);CRM-системы|Service Desk|Системы управления бизнес-процессами
BobCAD-CAM;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
Boldonjames;Docs Security Suite (4427);ПО для обеспечения ИБ|DLP-системы|Системы для обеспечения безопасности|Средства управления доступом к информационным ресурсам
Boldon James;КИБ Серчинформ (2468);DLP-системы
Bold Reports;FastReport VCL (undefined);Средства разработки
Bonita Open Solution;RunaWFE (951);Обучающее ПО|Системы управления бизнес-процессами|Отечественное ПО, бесплатное для образовательных организаций
Booking.com;Контур.Тревел (undefined);Турбизнес|Системы организации групповой работы|ПО для работы с документами и текстами
Boomi;Bercut, Гибридная интеграционная платформа (Hybrid Integration Platform) (5746)|RED MULE, Интеграционная Цифровая Платформа (Digital Integration Platform) (12601);Интеграционное ПО. Интеграционные шины, ESB
BOSCH BVMS;DOMINATION (1786)|Визирь. Программный комплекс системы видеоидентификации. (1989)|Модуль видеоаналитики "Распознавание лиц" Domination (10302)|Платформа AlphaLogic (2137)|Система ситуационного видеомониторинга «HeadPoint» (3592);Системы видеонаблюдения|Умный город|Системы мониторинга и управления|Системы для обеспечения безопасности|IIoT (промышленный интернет вещей)|Транспорт|Системы управления доступом (СКУД)|Системы распознавания лиц|Распознавание образов, компьютерное зрение|Умный дом|Программные платформы|SCADA
Bosch (VMS Viewer);Программный комплекс Видеопортал (4586);Системы видеонаблюдения
BPC & OMS/TAS;I-DS/PS Цифровой сервис / Календарное планирование (12373)|Zyfra Plant Production Planning (undefined);MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|AMM-системы (управление промышленным производством)
BricsCAD;nanoCAD BIM Вентиляция (12630)|nanoCAD BIM ВК (11133)|nanoCAD BIM Отопление (11134)|Renga (BIM-система) (7810)|Архитектура: АС/АР (3100)|Железобетонные конструкции: КЖ (3099)|Жизнеобеспечение: ВК (3098)|Жизнеобеспечение: ОВ (3097)|КОМПАС-3D (697)|КОМПАС-График (698)|Металлоконструкции: КМ (701)|Платформа nanoCAD (8814)|Платформа nanoCAD (доп. модуль «3D») (8814)|Платформа nanoCAD (доп. модуль «СПДС») (undefined)|Технология: ТХ (708);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM|ПО для промышленности
BricsCAD Mechanical;КОМПАС-3D (697)|Платформа nanoCAD (доп. модуль «Механика») (8814);CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM
Bright Pattern;Call-центр / IP АТС Infinity (13330)|Naumen CX (12797)|Naumen Contact Center (177);Телефония|Колл-центры
Broadcom DX NetOps Performance Management;AggreGate Network Manager (1057)|MONQ - Программная платформа сбора, интеллектуального анализа данных и управления процессами (7269);Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства прикладной разработки NoCode/LowCode
BroadLink;Умный дом DREHOME&TV (10443);Умный дом
BroadSoft Contact Center;Центр обслуживания вызовов ПРОТЕЙ (1428);Колл-центры
C3.AI ex Machina;pSeven Enterprise (11011);Аналитические системы (BI)|ПО для промышленности|Средства прикладной разработки NoCode/LowCode
C3.AI Suite;pSeven Enterprise (11011);Аналитические системы (BI)|ПО для промышленности|Средства прикладной разработки NoCode/LowCode
Cadence Allegro;Delta Design Professional (11907)|Delta Design Standard (11906);CAD/ECAD/CAM/CAE-системы
Cadence OrCAD;Delta Design Professional (11907)|Delta Design Standard (11906);CAD/ECAD/CAM/CAE-системы
Cadence PSpice;Delta Design Simulator (13820);CAD/ECAD/CAM/CAE-системы
CADMATIC, Финляндия;Model Studio CS Кабельное хозяйство (850)|Model Studio CS Молниезащита (839);Умный город|CAD/ECAD/CAM/CAE-системы|Строительство|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности|Энергетика|BIM
CADprofi;nanoCAD BIM ВК (11133)|nanoCAD BIM Отопление (11134)|Renga (BIM-система) (7810)|Жизнеобеспечение: ВК (3098)|Жизнеобеспечение: ОВ (3097);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM|ПО для промышленности
CADvent;nanoCAD BIM Вентиляция (12630)|Renga (BIM-система) (7810)|Жизнеобеспечение: ОВ (3097);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|BIM|ПО для промышленности
CADWorx Plant Design;Model Studio CS Трубопроводы (840)|Технология: ТХ (708);CAD/ECAD/CAM/CAE-системы|Строительство|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности|BIM
CalemEAM;1С:ТОИР Управление ремонтами и обслуживанием оборудования (638)|TechnologiCS (846)|Галактика EAM (985);Системы управления бизнес-процессами|EAM-системы (управление активами предприятия)|Управление ТОиР|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|MES|PDM - системы (Product Data Management)
Calypso Technology;Digital Q.FinancialMarkets (undefined);Банки и финансы
CAM-TOOL PEPS;SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
Camunda;Comindware Business Application Platform (2275)|Digital Q.BPM (undefined)|ELMA365 (8414)|Jmix RAD платформа (12044)|Naumen Service Management Platform (5263)|Pyrus (4857)|RunaWFE (951)|Synplity Platform (6909)|Платформа для автоматизации бизнес-процессов SimpleOne (6870);Системы управления бизнес-процессами|Программные платформы|Корпоративные порталы и средства их создания|Средства прикладной разработки NoCode/LowCode|Системы документооборота (СЭД), ECM-системы|CRM-системы|Средства управления ИТ-инфраструктурой|Средства разработки|Колл-центры|Service Desk|Системы организации групповой работы|Обучающее ПО|Отечественное ПО, бесплатное для образовательных организаций
CAMWorks;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
Canva;Николай Иронов (undefined);Торговля|Графические и фоторедакторы
Capital Software;ElectriCS Pro Авиация (1542);Энергетика|CAD/ECAD/CAM/CAE-системы|Транспорт|ПО для промышленности|PDM - системы (Product Data Management)
CARD/1 (The IB&T Group, Германия);IndorCAD/Road: ПРОЕКТИРОВАНИЕ АВТОМОБИЛЬНЫХ ДОРОГ (82);CAD/ECAD/CAM/CAE-системы|Строительство
Card Logic CMS;Корпоративная система управления жизненным циклом средств аутентификации JaCarta Management System (311);Системы управления средствами ИБ
Carlson Survey;КРЕДО ДАТ (5163)|КРЕДО ДОРОГИ (1722)|КРЕДО ОБЪЕМЫ (1725)|КРЕДО ТОПОГРАФ (1721)|КРЕДО ТОПОПЛАН (1718);Геодезия и картография|Строительство|CAD/ECAD/CAM/CAE-системы|Геоинформационные системы (ГИС)
CARTO;AirLay (8618);Геоинформационные системы (ГИС)
CAS Conax;CAS DRECRYPT (6465)|IPTVPORTAL CAS (709);Телекоммуникации
CaseComplete;Devprom ALM (1188);Системы организации групповой работы|Системы управления бизнес-процессами|Программные платформы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства управления тестированием ПО|Моделирование технических систем и объектов
Case.one;Naumen LegalTech (12775);Колл-центры
CA Service Desk Manager;Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Pyrus (4857)|TRS.Service Desk - решение для оптимизации процессов и служб по работе с клиентскими обращениями. (5349)|Платформа Окдеск (12600);CRM-системы|Service Desk|Колл-центры|Системы организации групповой работы|Системы управления бизнес-процессами|Корпоративные порталы и средства их создания|ПО для функциональных сотрудников/подразделений|Управление ТОиР
CAS Irdeto;CAS DRECRYPT (6465)|IPTVPORTAL CAS (709);Телекоммуникации
CAS NAGRA;CAS DRECRYPT (6465);Телекоммуникации
CAS Verimatrix VCAS;CAS DRECRYPT (6465);Телекоммуникации
CAS Viaccess;CAS DRECRYPT (6465);Телекоммуникации
CAS VideoCrypt;CAS DRECRYPT (6465);Телекоммуникации
CATIA;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|КОМПАС-3D (697)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM
Catsy;1С:MDM Управление нормативно-справочной информацией (672)|QP8.ProductCatalog (8667);MDM-системы (Master Data Management)|Системы управления бизнес-процессами|Торговля|Корпоративные порталы и средства их создания
CBS-3;Digital Q.Consumer (undefined)|Digital Q.Corporate (undefined)|Digital Q.Payments (undefined)|FXL 2.0 (Зарегистрировано в Едином реестре российских программ для электронных вычислительных машин и баз данных № 9199 от 20.02.2021 года.);Банки и финансы|Системы управления бизнес-процессами|CRM-системы|Средства прикладной разработки NoCode/LowCode
Celigo;Bercut, Гибридная интеграционная платформа (Hybrid Integration Platform) (5746)|RED MULE, Интеграционная Цифровая Платформа (Digital Integration Platform) (12601);Интеграционное ПО. Интеграционные шины, ESB
CELOS;Автоматизированная информационная система Диспетчер (2122);Системы мониторинга и управления|SCADA|IIoT (промышленный интернет вещей)
CentOS;Astra Linux Special Edition (369)|Альт Сервер (1541)|Базальт Рабочая станция (1292)|ОС "ОСнова" (5913)|ОС РОСА КОБАЛЬТ (1999)|ОС РОСА ХРОМ (1607)|РЕД ОС (3751);Операционные системы|Серверные ОС|ОС рабочих мест
Central Management Console Nozomi Networks;InfoWatch ARMA Management Console (undefined);Системы для обеспечения безопасности|АСУТП|Системы управления средствами ИБ
Certiq + Mobilaris;Zyfra Underground (undefined);Добывающая промышленность|ПО для промышленности
CFAST;Программное обеспечение "Сигма ПБ" (3741);Системы пожарной безопасности|Строительство|Моделирование технических систем и объектов
Checkmarx SCA;CodeScoring (13008);ПО для обеспечения ИБ|Безопасная разработка
CheckPoint;EcoNAT (1675)|Межсетевой экран ИКС (322);Коммуникационное ПО|ПО для обеспечения ИБ|Защищенный сетевой шлюз|Средства аутентификации пользователей|Средства мониторинга сетевого трафика и событий|Средства управления доступом к информационным ресурсам
Checkpoint CloudGuard;Cloud Advisor (14413);ПО для обеспечения ИБ|Средства управления ИТ-инфраструктурой|Системные утилиты|Облачные программные платформы
CheckPoint DLP;КИБ Серчинформ (2468)|«Модуль расширенной аналитики версии 7» («Dozor Dossier v. 7») (7449)|«Модуль централизованного управления версии 7» («MultiDozor v. 7») (7764);DLP-системы
Check Point Full Disk Encryption;Корпоративная система защиты информации конфиденциальной информации с централизованным управлением Secret Disk Enterprise (513)|Система защиты информации на рабочих станциях и серверах Secret Disk (514);Средства криптозащиты информации
Check Point Harmony;ViPNet EndPoint Protection (8640)|ViPNet IDS HS (3441)|ViPNet Personal Firewall 4.5 (5351);Антивирусное ПО|Средства мониторинга сетевого трафика и событий
Check Point Harmony Endpoint;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46)|Kaspersky Endpoint Security для бизнеса – Расширенный (207)|ViPNet Client 2 for Android (781)|ViPNet Client 2 for iOS (2969)|ViPNet Client 4 (778)|ViPNet Client 4U for Linux (4319)|ViPNet Client for macOS (10685)|ViPNet Client for Sailfish (4044)|ViPNet Terminal (1564);Антивирусное ПО|Системы управления средствами ИБ|Средства криптозащиты информации|Безопасный удаленный доступ|Средства криптозащиты сетей|Для организации удалённой работы
Check Point Quantum;ViPNet Administrator 4 (1025)|ViPNet Policy Manager 4 (2470);Средства криптозащиты информации|Средства криптозащиты сетей|Системы управления средствами ИБ
CheckPoint R1200;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
Check Point SandBlast;Kaspersky Anti Targeted Attack Platform EDR Agent (8353)|Traffic Inspector Next Generation (2016)|Система защиты от целенаправленных атак Athena Sandbox (Афина) (3762);ПО для обеспечения ИБ|Средства мониторинга сетевого трафика и событий|Безопасный удаленный доступ|Защищенный сетевой шлюз|Средства управления ИТ-инфраструктурой
Check Point Secure Gateway;Traffic Inspector Next Generation (2016);Безопасный удаленный доступ|Защищенный сетевой шлюз|Средства мониторинга сетевого трафика и событий
Checkpoint Security Gateway;ViPNet Coordinator HW 4 (2798)|ViPNet Coordinator KB 4 (5793)|ViPNet Coordinator VA (2798)|ViPNet xFirewall 5 (5923);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|Аппаратные СКЗИ|ПАК криптозащиты сетей|Сетевое оборудование|ПО для обеспечения ИБ|Средства криптозащиты информации
CheckPoint UTM;Ideco UTM (329)|Traffic Inspector Next Generation (2016)|Межсетевой экран ИКС (322);Защищенный сетевой шлюз|Безопасный удаленный доступ|Средства мониторинга сетевого трафика и событий|ПО для обеспечения ИБ|Средства аутентификации пользователей|Средства управления доступом к информационным ресурсам
CheckPoint VPN;Программный комплекс «САКУРА» (9018);ПО для обеспечения ИБ
CHERRY EPG;EPG DREGUIDE (5618);Телевидение, радиовещание
Cimatron;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
CIMCO Edit;CheckNC (undefined)|NCManager (14408)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы|Обучающее ПО|Для организации удалённой работы|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности
CIMCO MDC-Max;TechnologiCS (846)|Цифровая Программная Система Мониторинга Оборудования ОПТИМУМ ИИ (7781);EAM-системы (управление активами предприятия)|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|MES|PDM - системы (Product Data Management)|SCADA
CIM Track;КИБ Серчинформ (2468);DLP-системы
Cisco;EcoNAT (1675)|Naumen Contact Center (177)|TWIN (11009)|ЕVA.Telecom/ЕВА.Телеком - решение для управления активами для телекоммуникационных компаний на базе универсальной программной платформы TRS.EVA) (5879);Коммуникационное ПО|Колл-центры|Системы управления бизнес-процессами|Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Телекоммуникации|EAM-системы (управление активами предприятия)
CISCO AnyConnect;Программный комплекс «САКУРА» (9018);ПО для обеспечения ИБ
Cisco ASA;Ideco UTM (329)|Traffic Inspector Next Generation (2016)|ViPNet Coordinator HW 4 (2798)|ViPNet Coordinator KB 4 (5793)|ViPNet Coordinator VA (2798)|Межсетевой экран ИКС (322)|Программно-аппаратный комплекс ФПСУ-IP версии 3 (4069);Защищенный сетевой шлюз|Безопасный удаленный доступ|Средства мониторинга сетевого трафика и событий|Средства криптозащиты сетей|Аппаратные СКЗИ|ПАК криптозащиты сетей|Сетевое оборудование|ПО для обеспечения ИБ|Средства криптозащиты информации|Средства аутентификации пользователей|Средства управления доступом к информационным ресурсам
Cisco ASA 5506H-X;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
Cisco ASA Firepower;ViPNet xFirewall 5 (5923)|Инспектор сетевого фильтра NFI (11773);Защищенный сетевой шлюз|ПО для обеспечения ИБ|Средства управления ИТ-инфраструктурой
Cisco Broadworks;Комбинированная телефонная станция «Svetets CSS» (12057);Телекоммуникации|Системы видеосвязи (ВКС)|Instant Messaging|Телефония
Cisco BTS;Программный комплекс Протей-imSwitch (3361);Телекоммуникации|Сетевое оборудование
Cisco Call Manager Business Edition;Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177)|Naumen CX (12797);Телефония|Колл-центры
Cisco Call Manager Express;Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177)|Naumen CX (12797);Телефония|Колл-центры
Cisco CMS;IVA AVES (9622)|IVA AVES S (ДВФТ.30001-01) (5844)|IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Enterprise (5302)|TrueConf Group (6820)|TrueConf MCU (6822)|TrueConf Server (78)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Сервер видеоконференций Vinteo (412);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
Cisco Codian;Cервер видеоконференций IVA MCU (5563)|IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Group (6820)|TrueConf MCU (6822)|TrueConf Server (78)|VideoMost Server (952)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Сервер видеоконференций Vinteo (412);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
Cisco CTS-ATP-EX90-K9;TrueConf Group (6820)|Программное обеспечение ПРОТЕЙ-ВКС (5322);Системы видеосвязи (ВКС)|Для организации удалённой работы
Cisco Email Security;Dr.Web Mail Security Suite (43)|Kaspersky Security для почтовых серверов (203);Антивирусное ПО|Средства защиты e-mail
Cisco Firepower;Ideco UTM (329)|Kaspersky Security для интернет-шлюзов (202)|Traffic Inspector Next Generation (2016)|ViPNet xFirewall 5 (5923)|Межсетевой экран ИКС (322);Защищенный сетевой шлюз|Антивирусное ПО|Безопасный удаленный доступ|Средства мониторинга сетевого трафика и событий|ПО для обеспечения ИБ|Средства аутентификации пользователей|Средства управления доступом к информационным ресурсам
Cisco Firepower Management Center;InfoWatch ARMA Management Console (undefined);Системы для обеспечения безопасности|АСУТП|Системы управления средствами ИБ
Cisco IOS Intrusion;ViPNet IDS NS (7058);ПО для обеспечения ИБ|Средства мониторинга сетевого трафика и событий
Cisco IP Contact Center;Call-центр / IP АТС Infinity (13330);Телефония|Колл-центры
Cisco IP Contact Center (IPCC);Naumen Contact Center (177)|Call-центр / IP АТС Infinity (13330)|Naumen CX (12797);Колл-центры|Телефония
Cisco IronPort;Kaspersky Security для почтовых серверов (203);Антивирусное ПО|Средства защиты e-mail
Cisco Meeting Server;TrueConf Enterprise (5302)|TrueConf Group (6820)|TrueConf MCU (6822)|TrueConf Server (78)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Контур.Толк (11964)|Сервер видеоконференций Vinteo (412);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
Cisco Meraki;Платформа управления мобильными устройствами Аврора Центр (6875)|Платформа управления, мониторинга, аналитики и авторизации Wi-Fi сетей Wimark One (13303);EMM/MDM/MAM-системы (управление мобильными устройствами/приложениями)|Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Телекоммуникации|Средства управления ИТ-инфраструктурой|Средства мониторинга сетевого трафика и событий
Cisco Policy Suite DRA;Nexign Diameter Routing Agent (DRA) (16121);Телекоммуникации
Cisco Prime Infrastructure;AggreGate Network Manager (1057);Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства прикладной разработки NoCode/LowCode
Cisco Secure Endpoint;Dr.Web Desktop Security Suite (47)|Dr.Web Server Security Suite (46)|Kaspersky Endpoint Security для бизнеса – Расширенный (207)|ViPNet EndPoint Protection (8640)|ViPNet IDS HS (3441)|ViPNet Personal Firewall 4.5 (5351);Антивирусное ПО|Системы управления средствами ИБ|Средства криптозащиты информации|Средства мониторинга сетевого трафика и событий
Cisco Secure Firewall Management Center;ViPNet Policy Manager 4 (2470);Системы управления средствами ИБ
Cisco SecureX;InfoWatch ARMA Management Console (undefined);Системы для обеспечения безопасности|АСУТП|Системы управления средствами ИБ
Cisco Security Endpoint;InfoWatch ARMA Industrial Endpoint (undefined)|Kaspersky Industrial CyberSecurity (183);ПО для обеспечения ИБ|Сетевое оборудование|Антивирусное ПО
Cisco SIP IP Phone Software;Cервер видеоконференций IVA MCU (5563)|GM Smart System (5617)|IP АТС «МиниКом МХ-1000» (10511 от 06.05.2021)|IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Server (78)|VideoMost Server (952)|WEBINAR (ВЕБИНАР), версия 3.0 (3316);Системы видеосвязи (ВКС)|Системы управления средствами ИБ|Средства управления ИТ-инфраструктурой|Системы организации групповой работы|ПАК|Для организации удалённой работы|Телефония|Образование|Системы видеостриминга
Cisco StealthWatch;Гарда Монитор (3521);Системы для обеспечения безопасности|Средства мониторинга сетевого трафика и событий
Cisco SWA/WSA;Solar webProxy (5984);Защищенный сетевой шлюз|Средства мониторинга сетевого трафика и событий|Средства управления доступом к информационным ресурсам
Cisco SX-20;TrueConf Videobar (undefined)|Программное обеспечение ПРОТЕЙ-ВКС (5322);Системы видеосвязи (ВКС)|Для организации удалённой работы
Cisco TelePresence MSE 8000;Программное обеспечение ПРОТЕЙ-ВКС (5322);Системы видеосвязи (ВКС)
Cisco TelePresence SX/EX;TrueConf Group (6820)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
Cisco Unified Border Element;SI3000 BGW Пограничный шлюз BGW 3.0 (5979)|СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Защищенный сетевой шлюз|Телефония|Сетевое оборудование
Cisco Unified Communications Manager;Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177)|SI3000 CS Программный коммутатор (5975)|VOXDISTRO IP-PBX (6974)|Комбинированная телефонная станция «Svetets CSS» (12057)|Многоканальная система регистрации телефонных вызовов и речевых сообщений Незабудка II (Незабудка II) (719)|Мультипротокольный коммуникационный сервер CommuniGate Pro (1189)|Программа для ЭВМ "Универсальный узел коммутации" (336)|Программный комплекс CommuniGate Pro Ver. 6.3 (7112)|Сервисная платформа Svetets TMS (3399);Телефония|Колл-центры|Телекоммуникации|Системы видеосвязи (ВКС)|Instant Messaging|Органы власти|Системы аудиозаписи|E-mail серверы|ПАК|Коммуникационное ПО|Программные платформы
Cisco Unified Contact Center;Call-центр / IP АТС Infinity (13330)|Unistar Contact Center (undefined)|Платформа CraftTalk (5035)|Центр обслуживания вызовов ПРОТЕЙ (1428);Телефония|Колл-центры|Коммуникационное ПО|E-mail серверы|Для организации удалённой работы|Instant Messaging
Cisco Unified Contact Center Enterprise;Naumen CX (12797)|Платформа CraftTalk (5035)|Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177);Колл-центры|Instant Messaging|Телефония
Cisco Unified Customer Voice Portal;Naumen CX (12797)|Naumen Erudite (6283)|Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Колл-центры|Instant Messaging|Лингвистическое ПО|Банки и финансы|Госуслуги
Cisco Virtualized Packet Core (Cisco VPC);Пакетное ядро сети 4G PROTEI EPC (6435);Телекоммуникации|Сетевое оборудование
Cisco Virtual Managed Services;DOMINATION (1786)|Платформа AlphaLogic (2137);Системы видеонаблюдения|Умный город|Системы мониторинга и управления|Системы для обеспечения безопасности|IIoT (промышленный интернет вещей)|Умный дом|Программные платформы|SCADA
Cisco VPN Solutions;ViPNet Administrator 4 (1025)|ViPNet Client 2 for Android (781)|ViPNet Client 2 for iOS (2969)|ViPNet Client 4 (778)|ViPNet Client 4U for Linux (4319)|ViPNet Client for macOS (10685)|ViPNet Client for Sailfish (4044)|ViPNet Terminal (1564);Средства криптозащиты информации|Средства криптозащиты сетей|Системы управления средствами ИБ|Безопасный удаленный доступ|Для организации удалённой работы
Cisco Webex;Cервер видеоконференций IVA MCU (5563)|IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Server (78)|VideoMost Server (952)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|Вебинарная платформа Pruffme (13142)|ВИДЕОСЕЛЕКТОР (751)|Волна Цифровой Офис (10647)|Контур.Толк (11964)|Сервер видеоконференций Vinteo (412);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга|Коммуникационное ПО
Citrix;ROSA Virtualization (5091)|Многопользовательское расширение АСТЕР для Windows (614)|Платформа виртуализации "Горизонт-ВС" (2338)|Программный комплекс «Средства виртуализации «Брест» (3742);Системы управления виртуализацией|Системные утилиты|Гипервизоры|Программно определяемые хранилища|VDI|Средства защиты от НСД|Системы виртуализации
Citrix XenApp;Live-дистрибутив РОСА «БАРИЙ» на токене (undefined)|ROSA Virtualization (5091)|VeiL Broker (8728)|АССИСТЕНТ. Система удаленного мониторинга и управления. (3173)|Брокер соединений SharxDesk (6752);Для организации удалённой работы|Системы управления виртуализацией|Системы виртуализации|VDI|Системы организации групповой работы|Безопасный удаленный доступ
Citrix XenMobile;Платформа управления мобильными устройствами Аврора Центр (6875);EMM/MDM/MAM-системы (управление мобильными устройствами/приложениями)
CivilFEM for ANSYS;APM Civil Engineering (2569);CAD/ECAD/CAM/CAE-системы|Образование
Civil Site Design;nanoCAD GeoniCS (11278);CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов
ClearCom;Synapse (Синапс) (undefined);ПО для функциональных сотрудников/подразделений|Телекоммуникации|Коммуникационное ПО|Склады, логистика|Телевидение, радиовещание
ClearSCADA;AggreGate SCADA/HMI (2186)|Alpha.Platform (13792)|APM Civil Engineering (2569)|MasterSCADA 4D (13907)|SCADA DataRate (3864)|SCADA «КРУГ-2000» (541)|Альфа платформа (1187)|КТК «ТРОПА» (8669)|Программный комплекс «EISCADA» (7129);АСУТП|SCADA|Отечественное ПО, бесплатное для образовательных организаций|IIoT (промышленный интернет вещей)|MES|Программные платформы|CAD/ECAD/CAM/CAE-системы|Образование|Системы мониторинга и управления|ПО промышленных микроконтроллеров|Системы мониторинга и управление энергосетей|Энергетика|ПО для промышленности|Обучающее ПО
Clearswift Endpoint DLP;Кибер Протего (13712)|КИБ Серчинформ (2468);DLP-системы
Cleopatra;Ingenix Cost Manager (5116)|Система управления капитальными вложениями инвестиционно-строительных проектов («PM.customer») v. 6.0 (9421);Энергетика|EAM-системы (управление активами предприятия)|Добывающая промышленность|Моделирование технических систем и объектов|Геодезия и картография|Бухгалтерия, финансы и отчетность|Системы управления бизнес-процессами|Строительство
